Дорожно-транспортные происшествия, октябрь 2025;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;11312.0;-9,4;1346.0;-6,3;13780.0;-9,2;8,9
Центральный федеральный округ;2747.0;-12,3;318.0;-9,1;3280.0;-12,0;8,8
Белгородская область;133.0;22,0;13.0;-7,1;173.0;28,1;7,0
Брянская область;32.0;-39,6;3.0;-80,0;34.0;-46,9;8,1
Владимирская область;151.0;-9,0;19.0;-20,8;201.0;-9,9;8,6
Воронежская область;241.0;-5,1;39.0;11,4;283.0;-8,1;12,1
Ивановская область;97.0;-6,7;5.0;-70,6;131.0;13,9;3,7
Калужская область;98.0;1,0;14.0;7,7;115.0;9,5;10,9
Костромская область;114.0;44,3;7.0;стаб.;145.0;51,0;4,6
Курская область;90.0;-14,3;15.0;7,1;104.0;-21,8;12,6
Липецкая область;108.0;13,7;13.0;-13,3;140.0;35,9;8,5
гор. Москва;692.0;-23,0;35.0;-2,8;761.0;-24,1;4,4
Московская область;300.0;-19,8;59.0;-24,4;317.0;-24,7;15,7
Орловская область;66.0;6,5;13.0;62,5;81.0;1,3;13,8
Рязанская область;126.0;-10,6;15.0;-6,3;164.0;-13,7;8,4
Смоленская область;50.0;-44,4;9.0;12,5;63.0;-42,7;12,5
Тамбовская область;100.0;-2,0;8.0;-11,1;149.0;0,7;5,1
Тверская область;102.0;-16,4;14.0;-17,6;123.0;-10,2;10,2
Тульская область;144.0;4,3;22.0;69,2;181.0;11,0;10,8
Ярославская область;103.0;-28,0;15.0;36,4;115.0;-40,1;11,5
Северо-Западный федеральный округ;1073.0;-2,8;75.0;-9,6;1320.0;-1,9;5,4
Республика Карелия;82.0;9,3;8.0;33,3;129.0;29,0;5,8
Республика Коми;74.0;-8,6;1.0;-80,0;91.0;-10,8;1,1
Архангельская область;64.0;-15,8;0.0;-100,0;83.0;-2,4;стаб.
Вологодская область;92.0;-18,6;10.0;стаб.;116.0;-22,1;7,9
Калининградская область;87.0;-7,4;7.0;133,3;98.0;-13,3;6,7
Ленинградская область;150.0;11,9;22.0;4,8;188.0;20,5;10,5
гор. Санкт-Петербург;330.0;-1,5;6.0;-57,1;368.0;-2,1;1,6
Мурманская область;67.0;-22,1;7.0;250,0;95.0;-18,1;6,9
Новгородская область;69.0;13,1;9.0;200,0;85.0;9,0;9,6
Псковская область;57.0;16,3;5.0;-50,0;66.0;-7,0;7,0
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Южный федеральный округ;1215.0;-12,3;197.0;-1,5;1425.0;-15,2;12,1
Республика Адыгея (Адыгея);41.0;-18,0;5.0;-54,5;45.0;-10,0;10,0
Республика Калмыкия;47.0;-13,0;6.0;-14,3;57.0;-40,6;9,5
Республика Крым;107.0;-14,4;17.0;-39,3;130.0;-17,7;11,6
Краснодарский край;464.0;-17,1;60.0;-13,0;531.0;-16,4;10,2
Астраханская область;111.0;29,1;14.0;100,0;125.0;15,7;10,1
Волгоградская область;213.0;-3,2;44.0;25,7;267.0;-6,0;14,1
Ростовская область;198.0;-21,4;47.0;11,9;234.0;-23,5;16,7
гор. Севастополь;34.0;-10,5;4.0;300,0;36.0;-16,3;10,0
Северо-Кавказский федеральный округ;501.0;-22,6;59.0;-41,6;652.0;-24,8;8,3
Республика Дагестан;123.0;-30,9;21.0;-40,0;161.0;-36,9;11,5
Республика Ингушетия;13.0;-27,8;0.0;-100,0;26.0;-7,1;стаб.
Кабардино-Балкарская Республика;41.0;-38,8;5.0;-68,8;52.0;-26,8;8,8
Карачаево-Черкесская Республика;39.0;8,3;2.0;-66,7;54.0;45,9;3,6
Республика Северная Осетия-Алания;71.0;-22,0;5.0;-44,4;93.0;-29,0;5,1
Чеченская Республика;10.0;-41,2;5.0;150,0;15.0;-53,1;25,0
Ставропольский край;204.0;-15,0;21.0;-32,3;251.0;-19,8;7,7
Приволжский федеральный округ;2494.0;-2,3;290.0;-1,0;2995.0;-3,5;8,8
Республика Башкортостан;246.0;-9,2;39.0;8,3;285.0;-7,5;12,0
Республика Марий Эл;76.0;-1,3;6.0;-25,0;99.0;-5,7;5,7
Республика Мордовия;44.0;-25,4;6.0;-50,0;53.0;-20,9;10,2
Республика Татарстан (Татарстан);329.0;-2,9;34.0;-5,6;392.0;-3,9;8,0
Удмуртская Республика;130.0;18,2;10.0;-33,3;157.0;30,8;6,0
Чувашская Республика - Чувашия;79.0;-11,2;10.0;стаб.;91.0;-19,5;9,9
Пермский край;218.0;15,3;26.0;18,2;275.0;22,2;8,6
Кировская область;162.0;19,1;13.0;30,0;183.0;5,2;6,6
Нижегородская область;433.0;5,4;49.0;53,1;505.0;-6,3;8,8
Оренбургская область;92.0;-20,7;12.0;-47,8;112.0;-13,2;9,7
Пензенская область;154.0;12,4;21.0;50,0;206.0;15,7;9,3
